System,Facility,CCN,State,State_full,County,City,Zip,Profit Status,Status,Lat,Long
– NOT IN ANY SYSTEM – ,Orthopaedic & Fracture Clinic,–,MN,Minnesota,Blue Earth,Mankato,56001,For profit,2019,44.13203,-93.97704
– NOT IN ANY SYSTEM – ,Overlake Medical Center,500051,WA,Washington,King County,Bellevue,98004,Non-profit,2011-2016,47.61450987,-122.20345
Agilon Health,Family Health Center of Bastrop,–,TX,Texas,Bastrop County,Bastrop,78602,For profit,2018,30.12383,-97.3284
Agilon Health,Premier Family Physicians,–,TX,Texas,Travis County,Austin,78735,For profit,2018,30.2659,-97.86658
Ardent,Hackensack Meridian Health Mountainside Medical Center,310054,NJ,New Jersey,Essex,Montclair,7042,For profit,2019,40.81369,-74.21766
Ardent,Hackensack Meridian Health Pascack Valley Medical Center,310130,NJ,New Jersey,Bergen,Westwood,7675,For profit,2019,41.00911,-74.00429
Ardent,University of Kansas Health System St. Francis Campus,170016,KS,Kansas,Shawnee,Topeka,66606,For profit,2019,39.0616,-95.72116
Ardent,Hillcrest Hospital Claremore,370039,OK,Oklahoma,Rogers County,Claremore,74017,For profit,2017,36.39314,-95.58349
Ardent,Hillcrest Hospital Cushing,370099,OK,Oklahoma,Payne County,Cushing,74023,For profit,2017,35.95802,-96.74985
Ardent,Bailey Medical Center,370228,OK,Oklahoma,Tulsa County, Owasso,74055,For profit,2017,36.27843,-95.81893
Ardent,Hillcrest Medical Center,370001,OK,Oklahoma,Tulsa County,Tulsa,74104,For profit,2017,36.1465,-95.95898
Ardent,Oklahoma Heart Institute,74104,OK,Oklahoma,Tulsa County,Tulsa,74104,For profit,2017,36.1465,-95.94898
Ardent,Tulsa Spine & Specialty Hospital,370216,OK,Oklahoma,Tulsa County,Tulsa,74132,For profit,2017,36.04862,-96.01322
Ardent,Hillcrest Hospital South,370202,OK,Oklahoma,Tulsa County,Tulsa,74133,For profit,2017,36.04146,-95.87941
Ardent,Hillcrest Hospital Pryor,370015,OK,Oklahoma,Mayes County,Pryor,74361,For profit,2017,36.30298,-95.30664
Ardent,Hillcrest Hospital Henryetta,370183,OK,Oklahoma,Okmulgee County,Henryetta,74437,For profit,2017,35.45456,-95.92795
Ardent,Portneuf Medical Center,130028,ID,Idaho,Bannock,Pocatello,83201,For profit,2019,42.88941,-112.38465
Ardent,Heart Hospital of New Mexico at Lovelace Medical Center,320083,NM,New Mexico,Bernalillo County,Albuquerque,87102,For profit,2018,35.08531013,-106.64914
Ardent,Lovelace Medical Center,320009,NM,New Mexico,Bernalillo County,Albuquerque,87102,For profit,2018,35.07664987,-106.64914
Ardent,Lovelace UNM Rehabilitation Hospital,323028,NM,New Mexico,Bernalillo County,Albuquerque,87102,For profit,2018,35.08098,-106.64164
Ardent,Lovelace Women's Hospital,320017,NM,New Mexico,Bernalillo County,Albuquerque,87109,For profit,2018,35.15297,-106.57541
Ardent,Lovelace Westside Hospital,320074,NM,New Mexico,Bernalillo County,Albuquerque,87114,For profit,2018,35.19711,-106.68401
Ardent,Lovelace Regional Hospital - Roswell,320086,NM,New Mexico,Chaves County,Roswell,88201,For profit,2018,33.63973,-104.36994
"Ascension Health - Saint Louis, MO",Baptist Hospital,blank,TN,Tennessee,Davidson County,Nashville,37203,Non-profit,Future Prospects: 2020,36.14934,-86.79034
"Ascension Health - Saint Louis, MO",Columbia Saint Mary's Hospital Milwaukee,520051,WI,Wisconsin,Milwaukee County,Milwaukee,53211,Non-profit,Future Prospects: 2020,43.08258,-87.88418
"Ascension Health - Saint Louis, MO",Sacred Heart Rehabilitation Institute,520051,WI,Wisconsin,Milwaukee County,Milwaukee,53211,Non-profit,Future Prospects: 2020,43.08258,-87.88418
"Ascension Health - Saint Louis, MO",Alexian Brothers Behavioral Health Hospital,144031,IL,Illinois,Cook County,Hoffman Estates,60169,Non-profit,Future Prospects: 2020,42.05039,-88.11666
"Ascension Health - Saint Louis, MO",Saint Alexius Medical Center,140290,IL,Illinois,Cook County,Hoffman Estates,60169,Non-profit,Future Prospects: 2020,42.05039,-88.11666
"Ascension Health - Saint Louis, MO",Saint Vincent's Medical Center,70028,CT,Connecticut,Fairfield County,Bridgeport,6606,Non-profit,Future Prospects: 2020,41.21174,-73.20803
"Ascension Health - Saint Louis, MO",Saint Mary's Hospital at  Amsterdam,330047,NY,New York,Montgomery County,Amsterdam,12010,Non-profit,Future Prospects: 2020,42.93798,-74.17385
"Ascension Health - Saint Louis, MO",Lourdes Hospital,blank,NY,New York,Broome County,Binghamton,13905,Non-profit,Future Prospects: 2020,42.18011,-75.94471
"Ascension Health - Saint Louis, MO",Mount Saint Mary's Hospital and Health Center,330188,NY,New York,Niagara County,Lewiston,14092,Non-profit,Future Prospects: 2020,43.17357,-78.99361
"Ascension Health - Saint Louis, MO",Providence Hospital,90006,DC,none,District of Columbia,Washington,20017,Non-profit,Future Prospects: 2020,38.93845,-76.99317
"Ascension Health - Saint Louis, MO",Saint Agnes Hospital,210011,MD,Maryland,Baltimore city,Baltimore,21229,Non-profit,Future Prospects: 2020,39.28514,-76.69077
"Ascension Health - Saint Louis, MO",Saint Vincent's Medical Center Riverside,100040,FL,Florida,Duval County,Jacksonville,32204,Non-profit,Future Prospects: 2020,30.31648,-81.68074
"Ascension Health - Saint Louis, MO",Saint Vincent's Medical Center Southside,100307,FL,Florida,Duval County,Jacksonville,32216,Non-profit,Future Prospects: 2020,30.27876,-81.58313
"Ascension Health - Saint Louis, MO",Sacred Heart Hospital on the Gulf,100313,FL,Florida,Gulf County,Port Saint Joe,32456,Non-profit,Future Prospects: 2020,29.80706,-85.30262
"Ascension Health - Saint Louis, MO",Sacred Heart Hospital,100025,FL,Florida,Escambia County,Pensacola,32504,Non-profit,Future Prospects: 2020,30.48459,-87.19099
"Ascension Health - Saint Louis, MO",Sacred Heart Hospital on the Emerald Coast,100292,FL,Florida,Walton County,Miramar Beach,32550,Non-profit,Future Prospects: 2020,30.38554,-86.34556
"Ascension Health - Saint Louis, MO",Saint Vincent's Blount,11305,AL,Alabama,Blount County,Oneonta,35121,Non-profit,Future Prospects: 2020,33.94125,-86.45527
"Ascension Health - Saint Louis, MO",Saint Vincent's Saint Clair,10130,AL,Alabama,St. Clair County,Pell City,35125,Non-profit,Future Prospects: 2020,33.62576,-86.29432
"Ascension Health - Saint Louis, MO",Saint Vincent's Birmingham,10056,AL,Alabama,Jefferson County,Birmingham,35205,Non-profit,Future Prospects: 2020,33.49496,-86.80825
"Ascension Health - Saint Louis, MO",Saint Vincent's East,10011,AL,Alabama,Jefferson County,Birmingham,35235,Non-profit,Future Prospects: 2020,33.62409,-86.64834
"Ascension Health - Saint Louis, MO",Providence Hospital,10090,AL,Alabama,Mobile County,Mobile,36608,Non-profit,Future Prospects: 2020,30.68171,-88.29444
"Ascension Health - Saint Louis, MO",Hickman Community Hospital,441300,TN,Tennessee,Hickman County,Centerville,37033,Non-profit,Future Prospects: 2020,35.73429,-87.55115
"Ascension Health - Saint Louis, MO",Middle Tennessee Medical Center,blank,TN,Tennessee,Rutherford County,Murfreesboro,37128,Non-profit,Future Prospects: 2020,35.79916,-86.47278
"Ascension Health - Saint Louis, MO",Saint Thomas Hospital,440082,TN,Tennessee,Davidson County,Nashville,37205,Non-profit,Future Prospects: 2020,36.1112,-86.87256
"Ascension Health - Saint Louis, MO",Saint John's Medical Center,blank,IN,Indiana,Madison County,Anderson,46016,Non-profit,Future Prospects: 2020,40.09784,-85.68149
"Ascension Health - Saint Louis, MO",Saint Vincent Carmel Hospital,150157,IN,Indiana,Hamilton County,Carmel,46032,Non-profit,Future Prospects: 2020,39.96583,-86.17108
"Ascension Health - Saint Louis, MO",Saint Vincent Mercy Hospital,151308,IN,Indiana,Madison County,Elwood,46036,Non-profit,Future Prospects: 2020,40.29519,-85.83109
"Ascension Health - Saint Louis, MO",Saint Vincent Frankfort Hospital,blank,IN,Indiana,Clinton County,Frankfort,46041,Non-profit,Future Prospects: 2020,40.29749,-86.49187
"Ascension Health - Saint Louis, MO",Saint Vincent Seton Specialty Hospital - Indianapolis,152020,IN,Indiana,Marion County,Indianapolis,46201,Non-profit,Future Prospects: 2020,39.77415,-86.10915
"Ascension Health - Saint Louis, MO",Saint Vincent Indianapolis Hospital,150084,IN,Indiana,Marion County,Indianapolis,46260,Non-profit,Future Prospects: 2020,39.89776,-86.17968
